Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages","All causes, by age (years), All Ages, flag","All causes, by age (years), GE 65","All causes, by age (years), GE 65, flag","All causes, by age (years), 45–64","All causes, by age (years), 45–64, flag","All causes, by age (years), 25–44","All causes, by age (years), 25–44, flag","All causes, by age (years), 1–24","All causes, by age (years), 1–24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I† Total,"P&I† Total, flag",Location 1,Location 2
"Somerville, MA",2014,43,6,,6,,,-,,-,,-,,-,,-,"Somerville, MA
(42.386683880000476, -71.09825622299962)",
"Springfield, MA",2014,43,33,,20,,9,,2,,1,,1,,1,,"Springfield, MA
(42.10125212200046, -72.58928991799962)",
"Waterbury, CT",2014,43,30,,19,,10,,1,,,-,,-,1,,"Waterbury, CT
(41.55407260800047, -73.04616830899965)",
"Worcester, MA",2014,43,84,,61,,15,,1,,3,,4,,7,,"Worcester, MA
(42.2634136260005, -71.80218873199965)",
Mid. Atlantic,2014,43,1727,,1235,,343,,109,,25,,15,,82,,,
"Albany, NY",2014,43,47,,35,,8,,2,,,-,2,,,-,"Albany, NY
(42.65155347600046, -73.75520562899965)",
"Allentown, PA",2014,43,30,,22,,7,,,-,,-,1,,,-,"Allentown, PA
(40.602603640000495, -75.47025702899964)",
"Buffalo, NY",2014,43,96,,53,,19,,20,,3,,1,,5,,"Buffalo, NY
(42.88544137700046, -78.87845781999965)",
"Camden, NJ",2014,43,35,,24,,7,,4,,,-,,-,,-,"Camden, NJ
(39.94525309400046, -75.11912817799964)",
"Elizabeth, NJ",2014,43,20,,10,,7,,1,,2,,,-,1,,"Elizabeth, NJ
(40.6638122490005, -74.21143642799967)",
"Erie, PA",2014,43,35,,22,,10,,2,,1,,,-,3,,"Erie, PA
(42.12944247200045, -80.08523881899964)",
"Jersey City, NJ",2014,43,19,,13,,5,,,-,1,,,-,1,,"Jersey City, NJ
(40.71748199500047, -74.04384854999967)",
"New York City, NY",2014,43,1028,,756,,203,,49,,12,,8,,44,,"New York City, NY
(40.71455220000047, -74.00711891899965)",
"Newark, NJ",2014,43,23,,13,,6,,3,,1,,,-,2,,"Newark, NJ
(40.73197019100047, -74.17420658799966)",
"Paterson, NJ",2014,43,19,,10,,6,,1,,1,,1,,1,,"Paterson, NJ
(40.91661430200048, -74.17163854999967)",
"Philadelphia, PA",2014,43,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.95228281700048, -75.16244984999963)",
"Pittsburgh, PA§",2014,43,37,,23,,12,,2,,,-,,-,4,,"Pittsburgh, PA
(40.438343044000476, -79.99746553899968)",
"Reading, PA",2014,43,37,,28,,5,,3,,1,,,-,5,,"Reading, PA
(40.3366219720005, -75.92783660599963)",
"Rochester, NY",2014,43,130,,101,,14,,13,,,-,2,,8,,"Rochester, NY
(43.155804340000486, -77.61631886899966)",
"Schenectady, NY",2014,43,26,,18,,5,,2,,1,,,-,4,,"Schenectady, NY
(42.8122500820005, -73.94101987199963)",
"Scranton, PA",2014,43,25,,19,,4,,2,,,-,,-,,-,"Scranton, PA
(41.41015086800047, -75.66077859599966)",
"Syracuse, NY",2014,43,59,,45,,10,,2,,2,,,-,2,,"Syracuse, NY
(43.0499922730005, -76.14738815999965)",
"Trenton, NJ",2014,43,29,,17,,11,,1,,,-,,-,1,,"Trenton, NJ
(40.21788039500046, -74.75939751899966)",
"Utica, NY",2014,43,12,,9,,2,,1,,,-,,-,,-,"Utica, NY
(43.09589091300046, -75.24257707799967)",
"Yonkers, NY",2014,43,20,,17,,2,,1,,,-,,-,1,,"Yonkers, NY
(40.93299168200048, -73.89873881399967)",
E.N. Central,2014,43,1911,,1315,,419,,103,,38,,36,,102,,,
"Akron, OH",2014,43,57,,38,,14,,1,,2,,2,,7,,"Akron, OH
(41.084193248000474, -81.51405901999965)",
"Canton, OH",2014,43,16,,10,,5,,,-,,-,1,,2,,"Canton, OH
(40.79781020000047, -81.37156644799967)",
"Chicago, IL",2014,43,275,,176,,74,,19,,5,,1,,10,,"Chicago, IL
(41.88425074000048, -87.63244574499964)",
"Cincinnati, OH",2014,43,81,,47,,18,,4,,3,,9,,1,,"Cincinnati, OH
(39.1071305910005, -84.50412975199964)",
"Cleveland, OH",2014,43,273,,209,,51,,12,,1,,,-,14,,"Cleveland, OH
(41.50475289400049, -81.69071765199965)",
"Columbus, OH",2014,43,224,,142,,58,,8,,9,,7,,9,,"Columbus, OH
(39.961992230000476, -83.00274798399965)",
"Dayton, OH",2014,43,140,,107,,23,,6,,2,,2,,6,,"Dayton, OH
(39.759112821000485, -84.19443785699968)",
"Detroit, MI",2014,43,,U,,U,,U,,U,,U,,U,,U,"Detroit, MI
(42.33168322200049, -83.04799903299966)",
"Evansville, IN",2014,43,49,,35,,12,,1,,,-,1,,4,,"Evansville, IN
(37.977082544000496, -87.56404663099966)",
"Fort Wayne, IN",2014,43,101,,74,,21,,4,,,-,2,,6,,"Fort Wayne, IN
(41.080263035000485, -85.13830990099967)",
"Gary, IN",2014,43,18,,9,,6,,2,,,-,1,,1,,"Gary, IN
(41.6037138850005, -87.33716612199964)",
"Grand Rapids, MI",2014,43,67,,48,,13,,4,,,-,2,,6,,"Grand Rapids, MI
(42.96641270800046, -85.67117986599965)",
"Indianapolis, IN",2014,43,216,,127,,58,,18,,8,,5,,14,,"Indianapolis, IN
(39.76691072200049, -86.14995579899966)",
"Lansing, MI",2014,43,46,,29,,6,,10,,1,,,-,2,,"Lansing, MI
(42.73194420800047, -84.55224806999968)",
"Milwaukee, WI",2014,43,54,,36,,14,,2,,2,,,-,1,,"Milwaukee, WI
(43.04181028200048, -87.90683717599967)",
"Peoria, IL",2014,43,43,,30,,11,,1,,1,,,-,,-,"Peoria, IL
(40.69214105000049, -89.58775824399964)",
"Rockford, IL",2014,43,56,,43,,10,,3,,,-,,-,1,,"Rockford, IL
(42.2669016910005, -89.07834897499964)",
"South Bend, IN",2014,43,42,,39,,2,,,-,1,,,-,7,,"South Bend, IN
(41.67905339900045, -86.25403946499966)",
"Toledo, OH",2014,43,84,,60,,15,,5,,2,,2,,5,,"Toledo, OH
(41.65381070900048, -83.53625660699964)",
"Youngstown, OH",2014,43,69,,56,,8,,3,,1,,1,,6,,"Youngstown, OH
(41.09810084600048, -80.65078761499967)",
W.N. Central,2014,43,532,,356,,131,,28,,8,,7,,45,,,
"Des Moines, IA",2014,43,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA
(41.589761626000495, -93.61564652299967)",
"Duluth, MN",2014,43,32,,23,,7,,1,,1,,,-,3,,"Duluth, MN
(46.787955844000464, -92.09984801699966)",
"Kansas City, KS",2014,43,29,,17,,12,,,-,,-,,-,3,,"Kansas City, KS
(39.113521653000475, -94.6268190079997)",
"Kansas City, MO",2014,43,97,,67,,22,,3,,1,,2,,11,,"Kansas City, MO
(39.1029502720005, -94.5830775179997)",
"Lincoln, NC",2014,43,42,,31,,10,,1,,,-,,-,3,,"Lincoln, NC
(35.486046210000495, -81.22400479399965)",
"Minneapolis, MN",2014,43,56,,33,,17,,4,,,-,2,,3,,"Minneapolis, MN
(44.9790304010005, -93.26492855899966)",
"Omaha, NE",2014,43,92,,67,,19,,2,,2,,2,,10,,"Omaha, NE
(41.260691100000486, -95.94058667399969)",
"St. Louis, MO",2014,43,43,,16,,15,,9,,2,,1,,5,,"St. Louis, MO
(38.6277517260005, -90.19955850799965)",
"St. Paul, MN",2014,43,55,,40,,10,,3,,2,,,-,4,,"St. Paul, MN
(44.94382372600046, -93.09331667699968)",
"Wichita, KS",2014,43,86,,62,,19,,5,,,-,,-,3,,"Wichita, KS
(37.686983657000496, -97.33557577399966)",
S. Atlantic,2014,43,1163,,693,,308,,91,,41,,30,,54,,,
"Atlanta, GA",2014,43,182,,106,,43,,17,,6,,10,,9,,"Atlanta, GA
(33.748311225000464, -84.39110931499965)",
"Baltimore, MD",2014,43,159,,86,,51,,13,,4,,5,,7,,"Baltimore, MD
(39.29058224000045, -76.60925970899967)",
"Charlotte, NC",2014,43,140,,81,,44,,10,,4,,1,,7,,"Charlotte, NC
(35.22286035400049, -80.83795956899968)",
"Jacksonville, FL",2014,43,167,,108,,38,,14,,3,,4,,7,,"Jacksonville, FL
(30.33147289700048, -81.65621662999968)",
"Miami, FL",2014,43,69,,53,,12,,3,,1,,,-,4,,"Miami, FL
(25.774810115000435, -80.19772778299966)",
"Norfolk, VA",2014,43,38,,9,,8,,11,,9,,1,,3,,"Norfolk, VA
(36.84682012200045, -76.28505728799968)",
"Richmond, VA",2014,43,41,,19,,16,,1,,4,,1,,,-,"Richmond, VA
(37.540703789000474, -77.43364879599966)",
"Savannah, GA",2014,43,73,,48,,20,,3,,,-,2,,2,,"Savannah, GA
(32.08091366600047, -81.09118590699967)",
"St. Petersburg, FL",2014,43,66,,42,,15,,6,,2,,1,,1,,"St. Petersburg, FL
(27.771193346000473, -82.63875661699967)",
"Tampa, FL",2014,43,115,,66,,38,,5,,4,,2,,8,,"Tampa, FL
(27.94653446400048, -82.45926644299965)",
"Washington, D.C.",2014,43,110,,72,,23,,8,,4,,3,,6,,"Washington, D.C.
(38.89037038100048, -77.03195864199967)",
"Wilmington, DE",2014,43,3,,3,,,-,,-,,-,,-,,-,"Wilmington, DE
(39.740234398000496, -75.55083980499967)",
E.S. Central,2014,43,917,,584,,240,,58,,14,,20,,59,,,
"Birmingham, AL",2014,43,158,,88,,47,,11,,5,,6,,6,,"Birmingham, AL
(33.52068040300048, -86.81175909799964)",
"Chattanooga, TN",2014,43,58,,37,,16,,3,,1,,1,,1,,"Chattanooga, TN
(35.04644289300046, -85.30945730199966)",
"Knoxville, TN",2014,43,138,,105,,21,,10,,,-,2,,12,,"Knoxville, TN
(35.96049444300047, -83.92090839299965)",
"Lexington, KY",2014,43,90,,58,,24,,6,,,-,2,,2,,"Lexington, KY
(38.04859009900048, -84.50031565799964)",
"Memphis, TN",2014,43,181,,112,,47,,15,,3,,4,,19,,"Memphis, TN
(35.14976284800048, -90.04924570399965)",
"Mobile, AL",2014,43,74,,51,,18,,3,,1,,1,,1,,"Mobile, AL
(30.68639351000047, -88.05323763099966)",
"Montgomery, AL",2014,43,71,,41,,25,,4,,1,,,-,9,,"Montgomery, AL
(32.38012350200046, -86.30062589499965)",
"Nashville, TN",2014,43,147,,92,,42,,6,,3,,4,,9,,"Nashville, TN
(36.16784000400048, -86.77815577199965)",
W.S. Central,2014,43,1413,,879,,379,,86,,39,,30,,60,,,
"Austin, TX",2014,43,87,,56,,17,,6,,4,,4,,5,,"Austin, TX
(30.267593529000465, -97.74298706799965)",
"Baton Rouge, LA",2014,43,90,,59,,28,,2,,,-,1,,3,,"Baton Rouge, LA
(30.44334106600047, -91.18698893099969)",
"Corpus Christi, TX",2014,43,52,,37,,7,,4,,2,,2,,3,,"Corpus Christi, TX
(27.796413705000475, -97.40355953599965)",
"Dallas, TX",2014,43,227,,127,,68,,16,,7,,9,,14,,"Dallas, TX
(32.778151412000454, -96.79539918599966)",
"El Paso, TX",2014,43,97,,70,,19,,4,,3,,1,,4,,"El Paso, TX
(31.75916316000047, -106.4874888869997)",
"Fort Worth, TX",2014,43,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.75095254800044, -97.33085951799967)",
"Houston, TX",2014,43,336,,208,,100,,19,,8,,1,,10,,"Houston, TX
(29.760453065000434, -95.36977674999969)",
"Little Rock, AR",2014,43,42,,17,,12,,7,,2,,4,,2,,"Little Rock, AR
(34.74865329300047, -92.27448794899965)",
"New Orleans, LA",2014,43,80,,45,,25,,5,,3,,2,,1,,"New Orleans, LA
(29.95370345100048, -90.07774868499968)",
"San Antonio, TX",2014,43,244,,157,,63,,14,,7,,3,,10,,"San Antonio, TX
(29.42458058800048, -98.49460914499969)",
"Shreveport, LA",2014,43,44,,32,,9,,2,,1,,,-,3,,"Shreveport, LA
(32.514612729000476, -93.74726848099965)",
"Tulsa, OK",2014,43,114,,71,,31,,7,,2,,3,,5,,"Tulsa, OK
(36.149743157000444, -95.99332745899966)",
Mountain,2014,43,1217,,817,,279,,80,,22,,17,,62,,,
"Albuquerque, NM",2014,43,107,,62,,26,,16,,2,,1,,10,,"Albuquerque, NM
(35.08423100300047, -106.64904746099967)",
"Boise, ID",2014,43,66,,45,,13,,8,,,-,,-,5,,"Boise, ID
(43.60698392100045, -116.1934057949997)",
"Colorado Springs, CO",2014,43,99,,74,,16,,6,,1,,2,,2,,"Colorado Springs, CO
(38.83343141300048, -104.82180632899968)",
"Denver, CO",2014,43,95,,61,,30,,2,,1,,1,,2,,"Denver, CO
(39.74001109000045, -104.9922972059997)",
"Las Vegas, NV",2014,43,304,,210,,78,,12,,1,,3,,22,,"Las Vegas, NV
(36.17191313400048, -115.13996564999968)",
"Ogden, UT",2014,43,54,,40,,5,,5,,1,,3,,3,,"Ogden, UT
(41.222362586000486, -111.97047620299969)",
"Phoenix, AZ",2014,43,183,,109,,44,,16,,8,,4,,6,,"Phoenix, AZ
(33.44825282000045, -112.07579699399969)",
"Pueblo, CO",2014,43,44,,35,,6,,1,,2,,,-,,-,"Pueblo, CO
(38.263863080000476, -104.61236614299969)",
"Salt Lake City, UT",2014,43,123,,78,,34,,5,,5,,1,,8,,"Salt Lake City, UT
(40.66726905100046, -111.92357267799969)",
"Tucson, AZ",2014,43,142,,103,,27,,9,,1,,2,,4,,"Tucson, AZ
(32.22155278400044, -110.96975897999971)",
Pacific,2014,43,1687,,1159,,376,,100,,22,,30,,110,,,
"Berkeley, CA",2014,43,11,,7,,3,,1,,,-,,-,,-,"Berkeley, CA
(37.86988150300044, -122.2705386769997)",
"Fresno, CA",2014,43,116,,72,,31,,10,,2,,1,,4,,"Fresno, CA
(36.74068202600046, -119.78572815899969)",
"Glendale, CA",2014,43,34,,27,,7,,,-,,-,,-,4,,"Glendale, CA
(34.146330203000446, -118.24863950799971)",
"Honolulu, HI",2014,43,62,,42,,14,,4,,1,,1,,7,,"Honolulu, HI
(21.304853205000427, -157.85774691599974)",
"Long Beach, CA",2014,43,58,,43,,15,,,-,,-,,-,7,,"Long Beach, CA
(33.76672070300049, -118.19239725799969)",
"Los Angeles, CA",2014,43,248,,154,,62,,20,,6,,6,,15,,"Los Angeles, CA
(34.053492307000454, -118.24531669099969)",
"Pasadena, CA",2014,43,29,,20,,6,,2,,,-,1,,1,,"Pasadena, CA
(34.14745120700047, -118.14426554199969)",
"Portland, OR",2014,43,122,,84,,27,,9,,1,,1,,5,,"Portland, OR
(45.51178871100046, -122.6756275729997)",
"Sacramento, CA",2014,43,235,,174,,46,,11,,,-,4,,21,,"Sacramento, CA
(38.5793341750005, -121.49089596399972)",
"San Diego, CA",2014,43,146,,95,,29,,13,,3,,6,,9,,"San Diego, CA
(32.71569228000044, -117.16171662299968)",
"San Francisco, CA",2014,43,102,,72,,20,,7,,,-,3,,10,,"San Francisco, CA
(37.777123997000444, -122.4196366869997)",
"San Jose, CA",2014,43,202,,150,,37,,8,,5,,2,,9,,"San Jose, CA
(37.33858362500047, -121.8855697949997)",
"Santa Cruz, CA",2014,43,27,,20,,5,,2,,,-,,-,1,,"Santa Cruz, CA
(36.974020590000464, -122.03094750099973)",
"Seattle, WA",2014,43,130,,77,,39,,9,,2,,3,,4,,"Seattle, WA
(47.60356894300048, -122.32944721899969)",
"Spokane, WA",2014,43,60,,40,,18,,1,,,-,1,,3,,"Spokane, WA
(47.65725655300048, -117.41227666799972)",
"Tacoma, WA",2014,43,105,,82,,17,,3,,2,,1,,10,,"Tacoma, WA
(47.255128716000456, -122.44163694999969)",
Total¶,2014,43,11084,,7385,,2592,,682,,222,,198,,604,,,
New England,2014,44,493,,339,,117,,21,,10,,6,,40,,,
"Boston, MA",2014,44,79,,58,,16,,2,,2,,1,,10,,"Boston, MA
(42.35866324500046, -71.05673887699965)",
"Bridgeport, CT",2014,44,38,,25,,12,,,-,,-,1,,3,,"Bridgeport, CT
(41.1818813860005, -73.19126911399962)",
"Cambridge, MA",2014,44,19,,18,,1,,,-,,-,,-,1,,"Cambridge, MA
(42.366791640000486, -71.10600946299962)",
"Fall River, MA",2014,44,27,,17,,7,,2,,1,,,-,1,,"Fall River, MA
(41.69735122300045, -71.14364572399967)",
"Hartford, CT",2014,44,47,,32,,10,,4,,1,,,-,5,,"Hartford, CT
(41.76349046400048, -72.67401728199962)",
"Lowell, MA",2014,44,24,,18,,5,,1,,,-,,-,3,,"Lowell, MA
(42.64588146300048, -71.31283694999962)",
"Lynn, MA",2014,44,5,,3,,2,,,-,,-,,-,1,,"Lynn, MA
(42.46370266800045, -70.95021669199963)",
"New Bedford, MA",2014,44,15,,9,,4,,1,,1,,,-,,-,"New Bedford, MA
(41.637670036000486, -70.93086932199964)",
"New Haven, CT",2014,44,41,,26,,10,,4,,1,,,-,1,,"New Haven, CT
(41.307621422000466, -72.92461752399964)",
"Providence, RI",2014,44,83,,53,,22,,3,,4,,1,,4,,"Providence, RI
(41.823872836000476, -71.41198998599964)",
"Somerville, MA",2014,44,1,,1,,,-,,-,,-,,-,,-,"Somerville, MA
(42.386683880000476, -71.09825622299962)",
"Springfield, MA",2014,44,37,,22,,12,,2,,,-,1,,4,,"Springfield, MA
(42.10125212200046, -72.58928991799962)",
"Waterbury, CT",2014,44,31,,26,,5,,,-,,-,,-,,-,"Waterbury, CT
(41.55407260800047, -73.04616830899965)",
"Worcester, MA",2014,44,46,,31,,11,,2,,,-,2,,7,,"Worcester, MA
(42.2634136260005, -71.80218873199965)",
Mid. Atlantic,2014,44,1864,,1358,,377,,85,,26,,17,,64,,,
"Albany, NY",2014,44,43,,29,,10,,4,,,-,,-,2,,"Albany, NY
(42.65155347600046, -73.75520562899965)",
"Allentown, PA",2014,44,33,,24,,7,,2,,,-,,-,1,,"Allentown, PA
(40.602603640000495, -75.47025702899964)",
"Buffalo, NY",2014,44,113,,80,,28,,3,,2,,,-,7,,"Buffalo, NY
(42.88544137700046, -78.87845781999965)",
"Camden, NJ",2014,44,13,,9,,4,,,-,,-,,-,,-,"Camden, NJ
(39.94525309400046, -75.11912817799964)",
"Elizabeth, NJ",2014,44,22,,17,,5,,,-,,-,,-,,-,"Elizabeth, NJ
(40.6638122490005, -74.21143642799967)",
"Erie, PA",2014,44,64,,57,,6,,1,,,-,,-,4,,"Erie, PA
(42.12944247200045, -80.08523881899964)",
"Jersey City, NJ",2014,44,18,,14,,3,,,-,1,,,-,,-,"Jersey City, NJ
(40.71748199500047, -74.04384854999967)",
"New York City, NY",2014,44,1010,,727,,208,,48,,16,,10,,22,,"New York City, NY
(40.71455220000047, -74.00711891899965)",
"Newark, NJ",2014,44,32,,17,,13,,2,,,-,,-,2,,"Newark, NJ
(40.73197019100047, -74.17420658799966)",
"Paterson, NJ",2014,44,13,,7,,5,,1,,,-,,-,,-,"Paterson, NJ
(40.91661430200048, -74.17163854999967)",
"Philadelphia, PA",2014,44,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.95228281700048, -75.16244984999963)",
"Pittsburgh, PA§",2014,44,122,,90,,26,,3,,2,,1,,4,,"Pittsburgh, PA
(40.438343044000476, -79.99746553899968)",
"Reading, PA",2014,44,28,,22,,,-,4,,,-,2,,1,,"Reading, PA
(40.3366219720005, -75.92783660599963)",
"Rochester, NY",2014,44,164,,121,,30,,10,,1,,2,,8,,"Rochester, NY
(43.155804340000486, -77.61631886899966)",
"Schenectady, NY",2014,44,30,,28,,,-,1,,1,,,-,3,,"Schenectady, NY
(42.8122500820005, -73.94101987199963)",
"Scranton, PA",2014,44,24,,21,,3,,,-,,-,,-,2,,"Scranton, PA
(41.41015086800047, -75.66077859599966)",
"Syracuse, NY",2014,44,85,,63,,15,,3,,2,,2,,7,,"Syracuse, NY
(43.0499922730005, -76.14738815999965)",
"Trenton, NJ",2014,44,22,,10,,9,,2,,1,,,-,,-,"Trenton, NJ
(40.21788039500046, -74.75939751899966)",
"Utica, NY",2014,44,9,,9,,,-,,-,,-,,-,,-,"Utica, NY
(43.09589091300046, -75.24257707799967)",
"Yonkers, NY",2014,44,19,,13,,5,,1,,,-,,-,1,,"Yonkers, NY
(40.93299168200048, -73.89873881399967)",
E.N. Central,2014,44,1960,,1339,,441,,112,,32,,35,,124,,,
"Akron, OH",2014,44,57,,35,,15,,3,,1,,3,,5,,"Akron, OH
(41.084193248000474, -81.51405901999965)",
"Canton, OH",2014,44,34,,26,,6,,2,,,-,,-,2,,"Canton, OH
(40.79781020000047, -81.37156644799967)",
"Chicago, IL",2014,44,249,,155,,62,,20,,7,,5,,12,,"Chicago, IL
(41.88425074000048, -87.63244574499964)",
"Cincinnati, OH",2014,44,77,,45,,20,,5,,4,,3,,4,,"Cincinnati, OH
(39.1071305910005, -84.50412975199964)",
"Cleveland, OH",2014,44,265,,190,,56,,16,,2,,1,,17,,"Cleveland, OH
(41.50475289400049, -81.69071765199965)",
"Columbus, OH",2014,44,232,,157,,49,,14,,3,,9,,14,,"Columbus, OH
(39.961992230000476, -83.00274798399965)",
"Dayton, OH",2014,44,129,,91,,25,,10,,2,,1,,7,,"Dayton, OH
(39.759112821000485, -84.19443785699968)",
"Detroit, MI",2014,44,,U,,U,,U,,U,,U,,U,,U,"Detroit, MI
(42.33168322200049, -83.04799903299966)",
"Evansville, IN",2014,44,44,,31,,9,,3,,1,,,-,4,,"Evansville, IN
(37.977082544000496, -87.56404663099966)",
"Fort Wayne, IN",2014,44,96,,65,,25,,5,,,-,1,,5,,"Fort Wayne, IN
(41.080263035000485, -85.13830990099967)",
"Gary, IN",2014,44,15,,9,,5,,1,,,-,,-,1,,"Gary, IN
(41.6037138850005, -87.33716612199964)",
"Grand Rapids, MI",2014,44,77,,55,,17,,,-,2,,3,,4,,"Grand Rapids, MI
(42.96641270800046, -85.67117986599965)",
"Indianapolis, IN",2014,44,200,,121,,58,,13,,5,,3,,18,,"Indianapolis, IN
(39.76691072200049, -86.14995579899966)",
"Lansing, MI",2014,44,52,,35,,9,,4,,1,,3,,2,,"Lansing, MI
(42.73194420800047, -84.55224806999968)",
"Milwaukee, WI",2014,44,87,,60,,22,,3,,,-,2,,6,,"Milwaukee, WI
(43.04181028200048, -87.90683717599967)",
"Peoria, IL",2014,44,54,,39,,9,,4,,1,,1,,,-,"Peoria, IL
(40.69214105000049, -89.58775824399964)",
"Rockford, IL",2014,44,79,,55,,20,,2,,1,,,-,1,,"Rockford, IL
(42.2669016910005, -89.07834897499964)",
"South Bend, IN",2014,44,53,,41,,7,,3,,2,,,-,5,,"South Bend, IN
(41.67905339900045, -86.25403946499966)",
"Toledo, OH",2014,44,94,,75,,16,,3,,,-,,-,10,,"Toledo, OH
(41.65381070900048, -83.53625660699964)",
"Youngstown, OH",2014,44,66,,54,,11,,1,,,-,,-,7,,"Youngstown, OH
(41.09810084600048, -80.65078761499967)",
W.N. Central,2014,44,623,,390,,166,,38,,15,,13,,36,,,
"Des Moines, IA",2014,44,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA
(41.589761626000495, -93.61564652299967)",
"Duluth, MN",2014,44,28,,23,,3,,2,,,-,,-,1,,"Duluth, MN
(46.787955844000464, -92.09984801699966)",
"Kansas City, KS",2014,44,20,,14,,6,,,-,,-,,-,3,,"Kansas City, KS
(39.113521653000475, -94.6268190079997)",
"Kansas City, MO",2014,44,117,,79,,28,,7,,2,,1,,6,,"Kansas City, MO
(39.1029502720005, -94.5830775179997)",
"Lincoln, NC",2014,44,60,,43,,12,,3,,1,,1,,2,,"Lincoln, NC
(35.486046210000495, -81.22400479399965)",
"Minneapolis, MN",2014,44,59,,37,,14,,4,,,-,3,,5,,"Minneapolis, MN
(44.9790304010005, -93.26492855899966)",
"Omaha, NE",2014,44,102,,67,,22,,5,,4,,4,,7,,"Omaha, NE
(41.260691100000486, -95.94058667399969)",
"St. Louis, MO",2014,44,99,,41,,41,,10,,6,,1,,3,,"St. Louis, MO
(38.6277517260005, -90.19955850799965)",
"St. Paul, MN",2014,44,69,,45,,18,,5,,,-,1,,3,,"St. Paul, MN
(44.94382372600046, -93.09331667699968)",
"Wichita, KS",2014,44,69,,41,,22,,2,,2,,2,,6,,"Wichita, KS
(37.686983657000496, -97.33557577399966)",
S. Atlantic,2014,44,1162,,739,,284,,81,,32,,26,,73,,,
"Atlanta, GA",2014,44,150,,85,,40,,13,,5,,7,,7,,"Atlanta, GA
(33.748311225000464, -84.39110931499965)",
"Baltimore, MD",2014,44,153,,79,,47,,17,,5,,5,,9,,"Baltimore, MD
(39.29058224000045, -76.60925970899967)",
"Charlotte, NC",2014,44,139,,102,,22,,7,,5,,3,,10,,"Charlotte, NC
(35.22286035400049, -80.83795956899968)",
"Jacksonville, FL",2014,44,168,,105,,47,,10,,3,,3,,7,,"Jacksonville, FL
(30.33147289700048, -81.65621662999968)",
"Miami, FL",2014,44,68,,62,,2,,1,,3,,,-,7,,"Miami, FL
(25.774810115000435, -80.19772778299966)",
"Norfolk, VA",2014,44,57,,38,,16,,2,,1,,,-,3,,"Norfolk, VA
(36.84682012200045, -76.28505728799968)",
"Richmond, VA",2014,44,59,,28,,22,,3,,6,,,-,1,,"Richmond, VA
(37.540703789000474, -77.43364879599966)",
"Savannah, GA",2014,44,53,,36,,12,,4,,1,,,-,4,,"Savannah, GA
(32.08091366600047, -81.09118590699967)",
"St. Petersburg, FL",2014,44,64,,43,,13,,4,,,-,4,,5,,"St. Petersburg, FL
(27.771193346000473, -82.63875661699967)",
"Tampa, FL",2014,44,110,,68,,28,,9,,3,,2,,10,,"Tampa, FL
(27.94653446400048, -82.45926644299965)",
"Washington, D.C.",2014,44,122,,77,,32,,11,,,-,2,,8,,"Washington, D.C.
(38.89037038100048, -77.03195864199967)",
"Wilmington, DE",2014,44,19,,16,,3,,,-,,-,,-,2,,"Wilmington, DE
(39.740234398000496, -75.55083980499967)",
E.S. Central,2014,44,896,,598,,225,,36,,18,,19,,53,,,
"Birmingham, AL",2014,44,173,,111,,41,,6,,7,,8,,11,,"Birmingham, AL
(33.52068040300048, -86.81175909799964)",
"Chattanooga, TN",2014,44,98,,75,,17,,3,,2,,1,,5,,"Chattanooga, TN
(35.04644289300046, -85.30945730199966)",
"Knoxville, TN",2014,44,66,,49,,13,,2,,1,,1,,3,,"Knoxville, TN
(35.96049444300047, -83.92090839299965)",
"Lexington, KY",2014,44,88,,52,,30,,4,,,-,2,,11,,"Lexington, KY
(38.04859009900048, -84.50031565799964)",
"Memphis, TN",2014,44,173,,113,,47,,6,,3,,4,,10,,"Memphis, TN
(35.14976284800048, -90.04924570399965)",
"Mobile, AL",2014,44,88,,65,,17,,4,,1,,1,,3,,"Mobile, AL
(30.68639351000047, -88.05323763099966)",
"Montgomery, AL",2014,44,47,,25,,18,,2,,1,,1,,1,,"Montgomery, AL
(32.38012350200046, -86.30062589499965)",
"Nashville, TN",2014,44,163,,108,,42,,9,,3,,1,,9,,"Nashville, TN
(36.16784000400048, -86.77815577199965)",
W.S. Central,2014,44,1519,,955,,399,,105,,39,,20,,73,,,
"Austin, TX",2014,44,124,,77,,34,,10,,3,,,-,3,,"Austin, TX
(30.267593529000465, -97.74298706799965)",
"Baton Rouge, LA",2014,44,91,,62,,20,,6,,2,,1,,4,,"Baton Rouge, LA
(30.44334106600047, -91.18698893099969)",
"Corpus Christi, TX",2014,44,71,,47,,20,,2,,1,,1,,9,,"Corpus Christi, TX
(27.796413705000475, -97.40355953599965)",
"Dallas, TX",2014,44,207,,126,,60,,15,,3,,2,,8,,"Dallas, TX
(32.778151412000454, -96.79539918599966)",
"El Paso, TX",2014,44,128,,84,,32,,8,,4,,,-,1,,"El Paso, TX
(31.75916316000047, -106.4874888869997)",
